original_title,original_author,found_title,publication_year,journal,abstract,text_cleaned,sdg_mapping,mapping_level
Legality Aspect of Conducting Documents-Only Arbitration in Indonesia,Garuda Wiko,Legality Aspect Of Conducting Documents Only Arbitration In Indonesia,2021.0,,"Arbitration (DOA) is a type of arbitration that is carried out entirely by written documents-only. DOA is beneficial when the burden and substance of the dispute are relatively simple and when there are obstacles to conduct a face-to-face proceeding (instance in the Covid-19 Pandemic or limitation of cost). This study examined the DOA trial method and how it is based on Law No. 30 Year1999 concerning Arbitration and Alternative Dispute Resolution as the lex arbitri in Indonesia. Regulations, Rules, and Procedures from arbitration institutions, both national and international are also studied to better understand the problem. This study aimed to explain the legality of arbitration based on Documents-Only Arbitration in Indonesia. This study concluded that the conduct of DOA is very possible to be implemented in Indonesia and does not conflict with Law No. 30 Year 1999 concerning Arbitration and Alternative Dispute Resolution (Arbitration Law).",legality aspect of conducting documents only arbitration in indonesia arbitration doa is a type of arbitration that is carried out entirely by written documentsonly doa is beneficial when the burden and substance of the dispute are relatively simple and when there are obstacles to conduct a facetoface proceeding instance in the covid pandemic or limitation of cost this study examined the doa trial method and how it is based on law no  year concerning arbitration and alternative dispute resolution as the lex arbitri in indonesia regulations rules and procedures from arbitration institutions both national and international are also studied to better understand the problem this study aimed to explain the legality of arbitration based on documentsonly arbitration in indonesia this study concluded that the conduct of doa is very possible to be implemented in indonesia and does not conflict with law no  year  concerning arbitration and alternative dispute resolution arbitration law,SDG 9,Tersier
The Early Warning System in Preventing Human Trafficking: Border (In) Security and Challenges for Indonesia,Sri Ismawati,The Early Warning System in Preventing Human Trafficking: Border (In) Security and Challenges for Indonesia,2023.0,,"article aims to find out how the early warning system is constructed in detecting human trafficking. This research discusses human trafficking in Indonesia, where most of the victims were trafficked to neighboring countries in the border area. One of the unsolved problem exist today is human trafficking in frontier areas; hence, there are three major factors causing the number of human trafficking in Indonesia is in high level according to data from the International Organization for Migration. This article is using empirical legal research method. The results show that the construction of an early warning system can be formed by studying the methods or modes used by the perpetrators in committing the crime of human trafficking. However, for this concept to succeed, good synchronization is needed between filters that include potential victims, agencies or institutions that can represent administrative functions, and officers at border area guard posts.",the early warning system in preventing human trafficking border in security and challenges for indonesia article aims to find out how the early warning system is constructed in detecting human trafficking this research discusses human trafficking in indonesia where most of the victims were trafficked to neighboring countries in the border area one of the unsolved problem exist today is human trafficking in frontier areas hence there are three major factors causing the number of human trafficking in indonesia is in high level according to data from the international organization for migration this article is using empirical legal research method the results show that the construction of an early warning system can be formed by studying the methods or modes used by the perpetrators in committing the crime of human trafficking however for this concept to succeed good synchronization is needed between filters that include potential victims agencies or institutions that can represent administrative functions and officers at border area guard posts,SDG 9,Tersier
Penal and non-penal approaches to the legal enforcement of child marriage: A political analysis of criminal law,Sri Ismawati,Penal and Non-Penal Approaches to the Legal Enforcement of Child Marriage: A Political Analysis of Criminal Law,2021.0,,"study is directed to examine the issue of child marriage from the perspective of criminal politics. Criminal political perspective child marriage is a perspective that not only sees the problem of child marriage solely as a matter of criminal law, but also tries to look at the problem of child marriage from a non-legal perspective. By using normative and juridical approach, the results showed that the perspective of politics of criminal law of child marriage is to see the problem of child marriage solely as a matter of criminal law, but also tries to look at the problem of child marriage from a non-legal perspective. The politics of criminal law with a penal approach can be done by using integrative formulation, revision, criminalization, penalization of child marriage, law enforcement against criminal acts related to child marriage, encouraging the making of Regional Regulations, Governor Regulations or Regulations of Regents. On other hand, the non-penal approach is by empowering the role of parents by conducting education, education and self-esteem; empowering the role of religious leaders, community leaders, traditional leaders; family economic empowerment, education empowerment and integral policy models",penal and nonpenal approaches to the legal enforcement of child marriage a political analysis of criminal law study is directed to examine the issue of child marriage from the perspective of criminal politics criminal political perspective child marriage is a perspective that not only sees the problem of child marriage solely as a matter of criminal law but also tries to look at the problem of child marriage from a nonlegal perspective by using normative and juridical approach the results showed that the perspective of politics of criminal law of child marriage is to see the problem of child marriage solely as a matter of criminal law but also tries to look at the problem of child marriage from a nonlegal perspective the politics of criminal law with a penal approach can be done by using integrative formulation revision criminalization penalization of child marriage law enforcement against criminal acts related to child marriage encouraging the making of regional regulations governor regulations or regulations of regents on other hand the nonpenal approach is by empowering the role of parents by conducting education education and selfesteem empowering the role of religious leaders community leaders traditional leaders family economic empowerment education empowerment and integral policy models,SDG 9,Tersier
Design of General Election in Indonesia,M. Syafei,Design of General Election in Indonesia,2020.0,,"2019 general elections in Indonesia have been held differently from the previous period. The 2019 general elections held simultaneously five boxes. This article discusses how the implementation of the 2019 general election and how the rather election should be carried out in the future. The author concludes that the implementation of simultaneous general elections in 2019 caused tremendous complexity for participants, voters, and organizers. The complexity and constraints that occur make the selection process not run well and less efficient and effective time spent. Then for the coming period, the elections should be carried out using the design of simultaneous national elections and simultaneous regional elections. In the simultaneous national election, it held to elect the President and Vice President, members of the House of People’s Representative, and members of the Regional Representative Board. Then in the simultaneous regional election, it held to elect the Governor, Regent/ Mayor, Provincial Legislative Council, and Regency/ City Legislative Council.",design of general election in indonesia  general elections in indonesia have been held differently from the previous period the  general elections held simultaneously five boxes this article discusses how the implementation of the  general election and how the rather election should be carried out in the future the author concludes that the implementation of simultaneous general elections in  caused tremendous complexity for participants voters and organizers the complexity and constraints that occur make the selection process not run well and less efficient and effective time spent then for the coming period the elections should be carried out using the design of simultaneous national elections and simultaneous regional elections in the simultaneous national election it held to elect the president and vice president members of the house of peoples representative and members of the regional representative board then in the simultaneous regional election it held to elect the governor regent mayor provincial legislative council and regency city legislative council,SDG 9,Tersier
The Early Warning System in Preventing Human Trafficking: Border (In) Security and Challenges for Indonesia,Sy. Hasyim Azizurrahman,The Early Warning System in Preventing Human Trafficking: Border (In) Security and Challenges for Indonesia,2023.0,,"article aims to find out how the early warning system is constructed in detecting human trafficking. This research discusses human trafficking in Indonesia, where most of the victims were trafficked to neighboring countries in the border area. One of the unsolved problem exist today is human trafficking in frontier areas; hence, there are three major factors causing the number of human trafficking in Indonesia is in high level according to data from the International Organization for Migration. This article is using empirical legal research method. The results show that the construction of an early warning system can be formed by studying the methods or modes used by the perpetrators in committing the crime of human trafficking. However, for this concept to succeed, good synchronization is needed between filters that include potential victims, agencies or institutions that can represent administrative functions, and officers at border area guard posts.",the early warning system in preventing human trafficking border in security and challenges for indonesia article aims to find out how the early warning system is constructed in detecting human trafficking this research discusses human trafficking in indonesia where most of the victims were trafficked to neighboring countries in the border area one of the unsolved problem exist today is human trafficking in frontier areas hence there are three major factors causing the number of human trafficking in indonesia is in high level according to data from the international organization for migration this article is using empirical legal research method the results show that the construction of an early warning system can be formed by studying the methods or modes used by the perpetrators in committing the crime of human trafficking however for this concept to succeed good synchronization is needed between filters that include potential victims agencies or institutions that can represent administrative functions and officers at border area guard posts,SDG 9,Tersier
Arrangement of relationship between state institutions through the fifth amendment of the 1945 constitution in indonesia,Rommy Patra,Arrangement of Relationship between State Institutions through the Fifth Amendment of the 1945 Constitution in Indonesia,2018.0,,"amendment of 1945 Constitution is deemed to have many weaknesses and shortcomings, especially related to the regulate institutional relationship between state institutions. There are some problem related to the obscurity of position of state institutions, the overlapping of duties, functions and authority which lead to the unrealized of checks and balances and the vulnerable for abuse of power. The direction of the arrangement of relationship between state institutions should be: First, to strengthen the implementation and purification of presidential system; Second, to clear up the position of the MPR as a joint session between DPD and DPR in an institutional relationship directed to create a strong bicameralism system; Third, the arrangement of judicial institutions should affirm the concept of MK as the court of law and MA as the court of justice. With the addition of constitutional complaint authority for MK and the authority of the previlegiatum forum for MA. While the arrangement of institutional relationship between MA and KY in supervising the judge should be developed based on the concept of share responsibility; Fourth, to make Attorney General as a constitutional organ that have the same constitutional authority and legal standing as other law enforcement agencies, namely National Police and the Courts (MA and MK). Fifth, the institutionalization of independent state commissions as constitutional organs based on the criteria of having the urgency and function of strengthening the constitutional democratic state and strengthening the mechanism of checks and balances.",arrangement of relationship between state institutions through the fifth amendment of the  constitution in indonesia amendment of  constitution is deemed to have many weaknesses and shortcomings especially related to the regulate institutional relationship between state institutions there are some problem related to the obscurity of position of state institutions the overlapping of duties functions and authority which lead to the unrealized of checks and balances and the vulnerable for abuse of power the direction of the arrangement of relationship between state institutions should be first to strengthen the implementation and purification of presidential system second to clear up the position of the mpr as a joint session between dpd and dpr in an institutional relationship directed to create a strong bicameralism system third the arrangement of judicial institutions should affirm the concept of mk as the court of law and ma as the court of justice with the addition of constitutional complaint authority for mk and the authority of the previlegiatum forum for ma while the arrangement of institutional relationship between ma and ky in supervising the judge should be developed based on the concept of share responsibility fourth to make attorney general as a constitutional organ that have the same constitutional authority and legal standing as other law enforcement agencies namely national police and the courts ma and mk fifth the institutionalization of independent state commissions as constitutional organs based on the criteria of having the urgency and function of strengthening the constitutional democratic state and strengthening the mechanism of checks and balances,SDG 9,Tersier
The Urgency of Combating Human Trafficking for Online Scams in Indonesia,Budi Hermawan Bangun,The Urgency of Combating Human Trafficking for Online Scams in Indonesia,2025.0,,"trafficking for online scams has emerged as a growing transnational crime, particularly in Southeast Asia. This study examines the role of ASEAN in combating this evolving form of human trafficking, highlighting its legal framework, challenges, and regional cooperation efforts. ASEAN has established multiple agreements, including the ASEAN Convention Against Trafficking in Persons (ACTIP) and the ASEAN Leaders' Declaration on Combating Trafficking in Persons Caused by the Abuse of Technology, to address the issue. However, the implementation of these agreements remains inconsistent due to the region’s adherence to the “ASEAN Way” principle, which prioritizes non-interference and consensus-based decision-making. This research employs a socio-legal approach, analyzing ASEAN’s institutional response and the legal framework supporting anti-trafficking measures. Findings indicate that while ASEAN has made significant strides in formalizing commitments, enforcement gaps persist. Human traffickers exploit weak border controls, technological advancements, and corruption to sustain their operations. Additionally, the rise of cyber fraud linked to trafficking in persons has intensified the urgency for coordinated regional action. The study underscores the need for ASEAN member states to adopt stronger enforcement mechanisms, improve victim protection, and enhance cross-border cooperation. Strengthening ASEAN’s role in combating human trafficking for online scams is crucial not only for upholding human rights but also for maintaining regional security and economic stability. The findings contribute to the discourse on transnational crime and the effectiveness of regional governance in addressing emerging criminal threats.",the urgency of combating human trafficking for online scams in indonesia trafficking for online scams has emerged as a growing transnational crime particularly in southeast asia this study examines the role of asean in combating this evolving form of human trafficking highlighting its legal framework challenges and regional cooperation efforts asean has established multiple agreements including the asean convention against trafficking in persons actip and the asean leaders declaration on combating trafficking in persons caused by the abuse of technology to address the issue however the implementation of these agreements remains inconsistent due to the regions adherence to the asean way principle which prioritizes noninterference and consensusbased decisionmaking this research employs a sociolegal approach analyzing aseans institutional response and the legal framework supporting antitrafficking measures findings indicate that while asean has made significant strides in formalizing commitments enforcement gaps persist human traffickers exploit weak border controls technological advancements and corruption to sustain their operations additionally the rise of cyber fraud linked to trafficking in persons has intensified the urgency for coordinated regional action the study underscores the need for asean member states to adopt stronger enforcement mechanisms improve victim protection and enhance crossborder cooperation strengthening aseans role in combating human trafficking for online scams is crucial not only for upholding human rights but also for maintaining regional security and economic stability the findings contribute to the discourse on transnational crime and the effectiveness of regional governance in addressing emerging criminal threats,SDG 9,Tersier
Ecofeminism and Enviromental Protection: A Legal Perspective,Budi Hermawan Bangun,Ecofeminism and Enviromental Protection: A Legal Perspective,2020.0,,"are very important figures to ensure sustainable development. This paper discusses the role of women in environmental protection from the perspective of eco-feminism and law. This research is a non-doctrinal legal research with a socio-legal approach. The data used are secondary data obtained through literature studies, then the data that has been obtained is analyzed qualitatively. It is learnt from the discussion that eco-feminism as a thought that criticizes the dominance of patriarchy over control of environmental management and has succeeded in encouraging environmental protection movements carried out by women in various countries. Women are key actors in using, managing and protecting natural resources. Environmental preservation is closely related to the role of women. From a legal perspective, eco-feminism is an effort by the people to seek justice as the main goal of law and ensure the principle of equality before the law inmonitoring, protecting and enjoying the benefits of environmental sustainability.",ecofeminism and enviromental protection a legal perspective are very important figures to ensure sustainable development this paper discusses the role of women in environmental protection from the perspective of ecofeminism and law this research is a nondoctrinal legal research with a sociolegal approach the data used are secondary data obtained through literature studies then the data that has been obtained is analyzed qualitatively it is learnt from the discussion that ecofeminism as a thought that criticizes the dominance of patriarchy over control of environmental management and has succeeded in encouraging environmental protection movements carried out by women in various countries women are key actors in using managing and protecting natural resources environmental preservation is closely related to the role of women from a legal perspective ecofeminism is an effort by the people to seek justice as the main goal of law and ensure the principle of equality before the law inmonitoring protecting and enjoying the benefits of environmental sustainability,SDG 9,Tersier
The Existences of International Law in The Establishment of Indonesian National Regulation on The Protection of Traditional Knowledge,Budi Hermawan Bangun,The Existences of International Law in The Establishment of Indonesian National Regulation on The Protection of Traditional Knowledge,2019.0,,"to The Problem: The debate about whether the protection of traditional knowledge governed by international law has led developing countries, such as Indonesia, to have the potential for traditional knowledge to feel disadvantaged. Purpose/Objective Study: This paper intends to discuss the existence of international law in the formation of Indonesian national regulations concerning the protection of traditional knowledge. Design/Methodology/Approach: This research designed as doctrinal legal research. The data used in this study are secondary data which analyzed qualitatively Findings: Â From the results of research and discussion it is known that stipulation of regulations related to the protection of traditional knowledge in Indonesia needs to be accompanied by efforts to encourage the acceptance of national interests in international agreements, both through increasing TRIP agreements and the ASEAN framework. Also, it must be ensured that all binding international legal instruments related to traditional knowledge will truly benefit especially the community of traditional knowledge owners in Indonesia.",the existences of international law in the establishment of indonesian national regulation on the protection of traditional knowledge to the problem the debate about whether the protection of traditional knowledge governed by international law has led developing countries such as indonesia to have the potential for traditional knowledge to feel disadvantaged purposeobjective study this paper intends to discuss the existence of international law in the formation of indonesian national regulations concerning the protection of traditional knowledge designmethodologyapproach this research designed as doctrinal legal research the data used in this study are secondary data which analyzed qualitatively findings  from the results of research and discussion it is known that stipulation of regulations related to the protection of traditional knowledge in indonesia needs to be accompanied by efforts to encourage the acceptance of national interests in international agreements both through increasing trip agreements and the asean framework also it must be ensured that all binding international legal instruments related to traditional knowledge will truly benefit especially the community of traditional knowledge owners in indonesia,Tidak Teridentifikasi,Tidak Ada
ESTABLISHING EQUALITY IN THE CORE-PLASMA PARTNERSHIP IN PALM OIL BUSINESS: THE ROLE OF THE INDONESIA COMPETITION COMMISSION,Siti Rohani,ESTABLISHING EQUALITY IN THE CORE-PLASMA PARTNERSHIP IN PALM OIL BUSINESS: THE ROLE OF THE INDONESIA COMPETITION COMMISSION,2025.0,,"oil is the main product that has contributed significantly to the Indonesian and Malaysian economy over the past few decades. Oil palm plantations in Indonesia are owned not just by large corporations, but also by smallholders known as MSMEs (Micro, Small, and Medium Enterprises). One of the Indonesian government's strategies to strengthen the capacity of MSMEs is to encourage large enterprises and MSMEs to form core-plasma partnerships. Large enterprises frequently incur various violations when implementing the palm oil industry partnership. As a result, adequate supervision from a government authority is essential. The purpose of this study is to examine the legal basis for the supervision of the Indonesian Competition Commission (‘ICC’; Komisi Pengawas Persaingan Usaha) on the implementation of core-plasma partnerships, to boost the oil palm plantation industry in Indonesia. This study type is normative-juridical and relies on secondary data sources to make assessments. The research typology used is analytical-descriptive, with the goal of fully and comprehensively explaining the duties and authorities of the ICC in supervising partnership implementation in Indonesia, and then evaluating them to determine the legal basis for the ICC's participation in partnership implementation. The analysis found that Law No. 9 of 1999 on the Prohibition of Monopolistic Practices and Unfair Business Competition does not regulate the ICC's authority to supervise partnerships. However, under Law No. 20 of 2008 on MSMEs and the implementation regulations, the ICC has the authority to oversee the implementation of core-plasma cooperation, namely through consultations, evaluations, suggestions, and considerations related to government policies, policy harmonization and law enforcement.",establishing equality in the coreplasma partnership in palm oil business the role of the indonesia competition commission oil is the main product that has contributed significantly to the indonesian and malaysian economy over the past few decades oil palm plantations in indonesia are owned not just by large corporations but also by smallholders known as msmes micro small and medium enterprises one of the indonesian governments strategies to strengthen the capacity of msmes is to encourage large enterprises and msmes to form coreplasma partnerships large enterprises frequently incur various violations when implementing the palm oil industry partnership as a result adequate supervision from a government authority is essential the purpose of this study is to examine the legal basis for the supervision of the indonesian competition commission icc komisi pengawas persaingan usaha on the implementation of coreplasma partnerships to boost the oil palm plantation industry in indonesia this study type is normativejuridical and relies on secondary data sources to make assessments the research typology used is analyticaldescriptive with the goal of fully and comprehensively explaining the duties and authorities of the icc in supervising partnership implementation in indonesia and then evaluating them to determine the legal basis for the iccs participation in partnership implementation the analysis found that law no  of  on the prohibition of monopolistic practices and unfair business competition does not regulate the iccs authority to supervise partnerships however under law no  of  on msmes and the implementation regulations the icc has the authority to oversee the implementation of coreplasma cooperation namely through consultations evaluations suggestions and considerations related to government policies policy harmonization and law enforcement,SDG 6,Sekunder
